year,book_count
0,2
1500,1
1515,1
1557,1
1590,1
1600,1
1686,1
1726,1
1764,1
1812,1
1820,1
1825,1
1826,1
1828,1
1843,1
1845,1
1850,2
1851,2
1862,1
1863,1
1865,2
1867,1
1870,2
1871,2
1872,2
1875,1
1877,1
1878,1
1880,2
1883,1
1884,2
1886,1
1888,1
1889,2
1890,1
1892,2
1894,1
1895,3
1897,1
1898,1
1899,2
1900,4
1901,1
1902,1
1903,2
1904,2
1905,2
1907,3
1908,4
1909,1
1910,2
1911,4
1912,1
1913,1
1914,1
1915,3
1916,1
1917,2
1920,2
1922,1
1924,1
1927,1
1928,1
1933,1
1937,2
1938,3
1939,1
1943,1
1946,1
1949,1
1950,2
1951,4
1952,4
1953,1
1954,4
1955,1
1956,1
1957,1
1959,2
1960,1
1961,2
1962,1
1963,2
1964,1
1965,1
1966,2
1967,1
1968,4
1969,1
1970,1
1971,1
1972,4
1973,1
1974,1
1976,1
1977,1
1980,1
1983,2
1984,1
1985,3
1986,1
1987,2
1988,2
1990,2
1991,1
1993,1
1995,1
1996,1
1997,4
1998,4
1999,3
2000,2
2001,2
2003,3
2005,4
2006,2
2007,2
2008,2
2009,1
2011,1
